Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9939393939393939,0.9946524064171124,0.9939393939393939,0.9939123376623377
Decision Tree,0.9818181818181818,0.9828829258976318,0.9818181818181818,0.9817776425465524
SVM,0.990909090909091,0.9918114973262032,0.990909090909091,0.9908786638833913
SGD,0.9606060606060606,0.9651425522362057,0.9606060606060606,0.9607788458617589
KNN,0.9727272727272728,0.974505029284441,0.9727272727272728,0.9725585547192888
Stacked Ensemble,0.996969696969697,0.9971590909090909,0.996969696969697,0.9969663262210536
